City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,quatre cocos,-20.2078,57.7625,22.27,77,32,2.82,MU,1669935920
129,salinopolis,-0.6136,-47.3561,27.11,79,55,6.1,BR,1669935920
130,gardez,33.5974,69.2259,1.94,54,0,0.65,AF,1669935921
131,sulur,11.0333,77.1333,24.23,88,75,0.0,IN,1669935921
132,kelcyre,40.3131,20.1894,10.65,91,99,1.54,AL,1669935922
133,rapid valley,44.0625,-103.1463,12.55,33,0,6.26,US,1669935922
134,olafsvik,64.8945,-23.7142,5.82,77,86,12.41,IS,1669935922
135,albany,42.6001,-73.9662,2.54,59,91,0.89,US,1669935632
136,neuquen,-38.9516,-68.0591,28.94,23,0,2.06,AR,1669935923
137,micheweni,-4.9667,39.8333,25.44,83,96,3.5,TZ,1669935923
138,vila velha,-20.3297,-40.2925,23.3,97,100,5.66,BR,1669935924
139,kavieng,-2.5744,150.7967,28.72,70,95,2.46,PG,1669935924
140,marienburg,54.0359,19.0266,2.72,81,100,1.61,PL,1669935925
141,gasa,31.5,34.4667,18.13,72,0,3.26,PS,1669935925
142,harper,4.375,-7.7169,25.53,85,100,2.34,LR,1669935926
143,siuna,13.7332,-84.7773,24.71,79,46,2.88,NI,1669935926
144,omsukchan,62.5333,155.8,-24.37,100,100,2.95,RU,1669935926
145,kaitangata,-46.2817,169.8464,10.45,73,42,5.56,NZ,1669935927
146,lebu,-37.6167,-73.65,13.03,75,0,8.37,CL,1669935885
147,coldingham,55.8868,-2.157,6.44,91,100,2.97,GB,1669935927
148,dieppe,49.75,1.1667,5.66,94,42,2.13,FR,1669935730
149,san matias,-16.3667,-58.4,23.03,87,70,4.86,BO,1669935928
150,beloha,-25.1667,45.05,21.94,89,99,3.52,MG,1669935744
151,maruoka,36.1534,136.2703,7.16,70,100,3.42,JP,1669935928
152,louveira,-23.0864,-46.9506,25.81,75,76,1.28,BR,1669935874
153,hagen,51.35,7.4667,3.41,90,100,2.71,DE,1669935929
154,gazli,40.1333,63.45,-1.39,56,100,3.59,UZ,1669935930
155,bethel,41.3712,-73.414,3.85,55,0,3.09,US,1669935930
156,amapa,1.0,-52.0,22.35,98,83,1.24,BR,1669935931
157,vostok,46.4856,135.8833,-24.94,97,82,2.5,RU,1669935931
158,coquimbo,-29.9533,-71.3436,17.85,72,20,5.14,CL,1669935931
159,hornepayne,49.2138,-84.7705,-5.91,70,100,2.76,CA,1669935932
160,atuona,-9.8,-139.0333,25.56,70,9,9.05,PF,1669935932
161,saint-joseph,-21.3667,55.6167,25.26,80,13,1.4,RE,1669935652
162,tuatapere,-46.1333,167.6833,11.66,57,86,5.7,NZ,1669935933
163,georgetown,5.4112,100.3354,26.24,86,20,2.24,MY,1669935406
164,hualmay,-11.0964,-77.6139,20.82,80,10,3.68,PE,1669935933
165,ponta do sol,32.6667,-17.1,19.45,74,28,3.3,PT,1669935934
166,fethiye,36.6217,29.1164,12.93,75,8,1.77,TR,1669935934
167,sistranda,63.7256,8.834,0.98,77,1,3.75,NO,1669935935
168,acapulco,16.8634,-99.8901,28.9,70,75,3.09,MX,1669935822
169,presidencia roque saenz pena,-26.7852,-60.4388,24.61,54,74,4.54,AR,1669935935
170,atar,20.5169,-13.0499,21.24,18,18,2.91,MR,1669935935
171,ornskoldsvik,63.2909,18.7153,0.53,100,100,1.54,SE,1669935936
172,san lorenzo,-25.3333,-57.5333,25.52,78,20,3.6,PY,1669935828
173,geraldton,-28.7667,114.6,17.23,82,75,1.54,AU,1669935797
174,san policarpo,12.1791,125.5072,27.24,83,100,7.24,PH,1669935937
175,dikson,73.5069,80.5464,-3.03,96,100,6.85,RU,1669935937
176,bathsheba,13.2167,-59.5167,27.34,74,40,8.23,BB,1669935937
177,jiangyou,31.7667,104.7167,3.7,81,71,0.98,CN,1669935938
178,kasongo-lunda,-6.4667,16.8167,20.44,98,100,0.15,CD,1669935938
179,rudnichnyy,59.617,52.4703,-15.78,98,58,1.26,RU,1669935939
180,xinmin,41.9908,122.8253,-11.17,52,1,3.0,CN,1669935939
181,juybar,36.6412,52.9124,11.58,88,98,4.83,IR,1669935940
182,ostersund,63.1792,14.6357,-0.75,100,100,4.92,SE,1669935940
183,terney,45.0503,136.6092,-14.89,69,7,3.05,RU,1669935940
184,asau,46.4333,26.4,-2.49,95,100,0.75,RO,1669935674
185,ust-kuyga,70.0167,135.6,-22.33,99,100,2.64,RU,1669935760
186,aykhal,66.0,111.5,-29.01,100,100,3.09,RU,1669935941
187,nanortalik,60.1432,-45.2371,-5.91,73,4,7.17,GL,1669935941
188,salto,-31.3833,-57.9667,23.82,65,7,8.94,UY,1669935942
189,bredasdorp,-34.5322,20.0403,16.97,88,51,3.18,ZA,1669935942
190,norman wells,65.282,-126.8329,-13.42,93,100,6.14,CA,1669935943
191,khatanga,71.9667,102.5,-12.14,94,99,5.89,RU,1669935943
192,lagoa,39.05,-27.9833,13.76,48,66,12.01,PT,1669935944
193,chicama,-7.8447,-79.1469,18.3,74,18,3.18,PE,1669935944
194,sao jose de ribamar,-2.5619,-44.0542,29.21,81,67,7.19,BR,1669935944
195,kargil,34.5667,76.1,-3.64,40,100,0.73,IN,1669935945
196,sawakin,19.1059,37.3321,26.83,75,5,3.47,SD,1669935945
197,tura,25.5198,90.2201,15.53,78,0,1.64,IN,1669935946
198,tasiilaq,65.6145,-37.6368,0.09,73,84,3.22,GL,1669935946
199,alzamay,55.5562,98.6644,-20.06,92,100,3.38,RU,1669935946
200,nhulunbuy,-12.2333,136.7667,29.34,79,100,2.06,AU,1669935947
201,maarianhamina,60.0973,19.9348,0.92,100,100,3.09,AX,1669935947
202,chapais,49.7834,-74.8492,-7.12,88,100,6.84,CA,1669935766
203,jaisalmer,26.9147,70.9181,17.95,21,11,1.72,IN,1669935948
204,san juan,-31.5375,-68.5364,27.32,26,32,2.59,AR,1669935948
205,beisfjord,68.3751,17.5988,0.03,87,48,3.3,NO,1669935948
206,stellenbosch,-33.9346,18.8668,17.77,90,47,1.77,ZA,1669935949
207,klaksvik,62.2266,-6.589,10.51,96,100,13.15,FO,1669935949
208,bakchar,57.0186,82.0711,-21.42,99,87,2.18,RU,1669935949
209,bereda,43.2686,-7.5406,5.32,100,13,1.13,ES,1669935950
210,thatta,24.7475,67.9235,18.84,23,2,1.6,PK,1669935950
211,omboue,-1.5746,9.2618,25.62,88,100,1.79,GA,1669935858
212,spirit river,55.7833,-118.8361,-24.2,94,53,0.77,CA,1669935665
213,sorland,67.667,12.6934,2.92,78,91,3.46,NO,1669935951
214,pacific grove,36.6177,-121.9166,10.91,90,100,4.47,US,1669935726
215,lasa,46.6166,10.7002,0.57,79,95,0.38,IT,1669935952
216,boyolangu,-8.1181,111.8935,24.23,83,95,1.54,ID,1669935952
217,makurdi,7.7411,8.5121,25.25,29,84,0.7,NG,1669935952
218,pflugerville,30.4394,-97.62,12.64,74,100,1.34,US,1669935953
219,lavrentiya,65.5833,-171.0,0.24,98,100,5.95,RU,1669935953
220,cabedelo,-6.9811,-34.8339,26.21,74,22,4.79,BR,1669935749
221,tashla,51.7716,52.7427,-7.86,91,93,2.59,RU,1669935954
222,gornyak,50.9942,81.4661,-26.34,99,100,1.73,RU,1669935954
223,mazamari,-11.3258,-74.5308,25.11,82,96,0.65,PE,1669935954
224,cabo san lucas,22.8909,-109.9124,29.23,70,20,2.06,MX,1669935955
225,vrangel,42.7297,133.0839,-9.98,52,7,4.83,RU,1669935955
226,inuvik,68.3499,-133.7218,-18.23,99,100,2.47,CA,1669935956
227,koulamoutou,-1.1303,12.4736,22.32,89,100,0.43,GA,1669935956
228,bengkulu,-3.8004,102.2655,23.71,89,100,1.51,ID,1669935956
229,vila franca do campo,37.7167,-25.4333,14.55,75,71,9.74,PT,1669935844
230,port macquarie,-31.4333,152.9167,18.83,74,100,6.29,AU,1669935957
231,cidreira,-30.1811,-50.2056,22.21,94,96,7.13,BR,1669935957
232,huarmey,-10.0681,-78.1522,21.0,80,11,4.02,PE,1669935958
233,rauma,61.1272,21.5113,-0.98,90,100,3.34,FI,1669935958
234,great bend,38.3645,-98.7648,11.45,40,0,7.72,US,1669935958
235,kushnarenkovo,55.105,55.3508,-21.95,100,85,1.63,RU,1669935959
236,kapaa,22.0752,-159.319,28.99,58,0,7.72,US,1669935959
237,pontypool,51.7011,-3.0444,3.31,65,22,0.88,GB,1669935885
238,logan lake,50.4998,-120.8025,-18.77,96,72,1.26,CA,1669935960
239,baiyin,36.5583,104.2081,-7.28,37,26,1.04,CN,1669935960
240,morro bay,35.3658,-120.8499,14.44,92,100,0.45,US,1669935961
241,san patricio,28.017,-97.5169,16.91,82,99,5.59,US,1669935961
242,progreso,21.2833,-89.6667,28.06,82,3,8.48,MX,1669935961
243,yulara,-25.2406,130.9889,27.7,16,0,4.01,AU,1669935962
244,bilibino,68.0546,166.4372,-12.43,98,100,1.03,RU,1669935962
245,noumea,-22.2763,166.4572,32.99,99,86,2.72,NC,1669935397
246,prado,-17.3411,-39.2208,24.4,90,100,5.28,BR,1669935963
247,umm lajj,25.0213,37.2685,23.82,55,9,4.42,SA,1669935963
248,ivdel,60.6911,60.4206,-24.4,100,19,1.17,RU,1669935945
249,naryan-mar,67.6713,53.087,-7.46,96,100,3.97,RU,1669935964
250,lixourion,38.2019,20.4314,14.77,83,71,2.61,GR,1669935964
251,zinder,13.8072,8.9881,19.65,24,11,4.21,NE,1669935965
252,cheremukhovo,60.3484,59.9851,-23.79,100,11,1.4,RU,1669935965
253,wajir,1.7471,40.0573,26.86,62,100,5.42,KE,1669935965
254,katsuura,35.1333,140.3,11.08,69,100,5.19,JP,1669935966
255,shimoda,34.6667,138.95,8.95,73,89,4.81,JP,1669935966
256,dharur,18.8167,76.1167,15.93,54,4,2.25,IN,1669935967
257,hailar,49.2,119.7,-19.37,96,100,5.79,CN,1669935967
258,srednekolymsk,67.45,153.6833,-31.06,91,91,4.31,RU,1669935967
259,east london,-33.0153,27.9116,21.78,93,83,2.64,ZA,1669935968
260,hudiksvall,61.729,17.1036,1.78,98,100,0.56,SE,1669935968
261,nicoya,10.1483,-85.452,24.69,85,25,2.0,CR,1669935969
262,tiksi,71.6872,128.8694,-23.24,96,100,4.89,RU,1669935969
263,sitka,57.0531,-135.33,-1.06,80,100,6.69,US,1669935969
264,port-gentil,-0.7193,8.7815,26.98,89,20,5.14,GA,1669935970
265,kayes,14.0,-11.0,29.8,18,86,2.42,ML,1669935970
266,tres lagoas,-20.7511,-51.6783,26.67,50,100,3.9,BR,1669935970
267,phek,25.6667,94.5,7.11,98,23,0.7,IN,1669935971
268,leh,34.1667,77.5833,-4.72,42,99,1.07,IN,1669935972
269,merritt,50.1123,-120.7942,-15.03,94,81,0.45,CA,1669935624
270,isangel,-19.55,169.2667,28.94,76,82,7.18,VU,1669935972
271,boralday,43.3578,76.8594,-5.08,93,100,1.0,KZ,1669935972
272,indramayu,-6.3264,108.32,26.1,80,99,2.36,ID,1669935973
273,sabha,27.0377,14.4283,13.18,24,83,3.32,LY,1669935973
274,karasjok,69.4719,25.5112,-5.01,99,99,0.23,NO,1669935974
275,tabas,33.5959,56.9244,12.47,48,61,2.89,IR,1669935736
276,dehloran,32.6941,47.2679,19.25,56,0,1.31,IR,1669935975
277,te anau,-45.4167,167.7167,11.79,47,41,1.73,NZ,1669935975
278,san cristobal,7.7669,-72.225,20.1,94,25,1.88,VE,1669935976
279,komsomolskiy,40.4272,71.7189,4.95,68,100,2.49,UZ,1669935976
280,adrar,20.5022,-10.0711,20.6,20,0,3.38,MR,1669935977
281,ahipara,-35.1667,173.1667,17.48,70,91,4.72,NZ,1669935977
282,torbay,47.6666,-52.7314,7.44,92,100,3.13,CA,1669935957
283,beringovskiy,63.05,179.3167,1.68,99,100,5.82,RU,1669935977
284,ewa beach,21.3156,-158.0072,28.97,57,20,5.14,US,1669935978
285,russell,32.3502,-85.1999,12.78,40,0,1.54,US,1669935853
286,ribeira grande,38.5167,-28.7,14.32,60,74,5.81,PT,1669935978
287,osoyoos,49.0331,-119.4524,-8.45,86,83,3.34,CA,1669935979
288,clyde river,70.4692,-68.5914,-27.74,88,100,2.23,CA,1669935979
289,hirara,24.8,125.2833,23.21,80,100,10.93,JP,1669935710
290,green river,41.5286,-109.4662,4.99,48,73,2.56,US,1669935980
291,carutapera,-1.195,-46.02,26.07,82,59,4.72,BR,1669935980
292,lac du bonnet,50.2536,-96.0612,-9.68,92,87,2.13,CA,1669935980
293,plettenberg bay,-34.0527,23.3716,17.05,90,52,3.45,ZA,1669935981
294,sola,-13.8833,167.55,28.11,75,32,6.64,VU,1669935694
295,blythe,33.6103,-114.5964,21.25,30,0,6.69,US,1669935981
296,karakol,42.4907,78.3936,-3.8,66,100,2.14,KG,1669935603
297,copiapo,-27.3667,-70.3333,15.83,53,0,2.8,CL,1669935982
298,mao,39.8885,4.2658,11.31,82,0,1.54,ES,1669935982
